NAICS Code,Total Employment - 1999,MSA
--,48514.0,"Abilene, TX MSA"
21,491.0,"Abilene, TX MSA"
22,482.0,"Abilene, TX MSA"
23,2300.0,"Abilene, TX MSA"
31-33,3702.0,"Abilene, TX MSA"
42,2120.0,"Abilene, TX MSA"
44-45,7339.0,"Abilene, TX MSA"
48-49,1189.0,"Abilene, TX MSA"
51,1445.0,"Abilene, TX MSA"
52,1893.0,"Abilene, TX MSA"
53,745.0,"Abilene, TX MSA"
54,1323.0,"Abilene, TX MSA"
55,456.0,"Abilene, TX MSA"
56,3150.0,"Abilene, TX MSA"
61,2323.0,"Abilene, TX MSA"
62,10145.0,"Abilene, TX MSA"
71,623.0,"Abilene, TX MSA"
72,5606.0,"Abilene, TX MSA"
81,3114.0,"Abilene, TX MSA"
95,39.0,"Abilene, TX MSA"
--,290061.0,"Akron, OH MSA"
22,2777.0,"Akron, OH MSA"
23,13455.0,"Akron, OH MSA"
31-33,55559.0,"Akron, OH MSA"
42,16730.0,"Akron, OH MSA"
44-45,38311.0,"Akron, OH MSA"
48-49,7725.0,"Akron, OH MSA"
51,4818.0,"Akron, OH MSA"
52,10527.0,"Akron, OH MSA"
53,3875.0,"Akron, OH MSA"
54,12001.0,"Akron, OH MSA"
55,16909.0,"Akron, OH MSA"
56,18875.0,"Akron, OH MSA"
61,3861.0,"Akron, OH MSA"
62,36909.0,"Akron, OH MSA"
71,4490.0,"Akron, OH MSA"
72,25294.0,"Akron, OH MSA"
81,14216.0,"Akron, OH MSA"
95,3136.0,"Akron, OH MSA"
--,277059.0,"Albuquerque, NM MSA"
11,47.0,"Albuquerque, NM MSA"
21,655.0,"Albuquerque, NM MSA"
23,21276.0,"Albuquerque, NM MSA"
31-33,24756.0,"Albuquerque, NM MSA"
42,13023.0,"Albuquerque, NM MSA"
44-45,40555.0,"Albuquerque, NM MSA"
48-49,7413.0,"Albuquerque, NM MSA"
51,8816.0,"Albuquerque, NM MSA"
52,13882.0,"Albuquerque, NM MSA"
53,4751.0,"Albuquerque, NM MSA"
54,25187.0,"Albuquerque, NM MSA"
55,6131.0,"Albuquerque, NM MSA"
56,21596.0,"Albuquerque, NM MSA"
61,3789.0,"Albuquerque, NM MSA"
62,34853.0,"Albuquerque, NM MSA"
71,5633.0,"Albuquerque, NM MSA"
72,27864.0,"Albuquerque, NM MSA"
81,13033.0,"Albuquerque, NM MSA"
95,1502.0,"Albuquerque, NM MSA"
--,45955.0,"Alexandria, LA MSA"
11,280.0,"Alexandria, LA MSA"
23,4073.0,"Alexandria, LA MSA"
31-33,2890.0,"Alexandria, LA MSA"
42,1936.0,"Alexandria, LA MSA"
44-45,7677.0,"Alexandria, LA MSA"
