NAICS Code,NAICS Description,Total Employment,State
--,Total,114509626.0,United States
11,"Agriculture, forestry, fishing and hunting",153829.0,United States
21,"Mining, quarrying, and oil and gas extraction",604653.0,United States
22,Utilities,641552.0,United States
23,Construction,5967128.0,United States
31-33,Manufacturing,11632956.0,United States
42,Wholesale trade,5827769.0,United States
44-45,Retail trade,14802767.0,United States
48-49,Transportation and warehousing,4159604.0,United States
51,Information,3288109.0,United States
52,Finance and insurance,6171240.0,United States
53,Real estate and rental and leasing,2036590.0,United States
54,"Professional, scientific, and technical services",7839965.0,United States
55,Management of companies and enterprises,2853450.0,United States
56,Administrative and support and waste management and remediation services,9060987.0,United States
61,Educational services,3200553.0,United States
62,Health care and social assistance,17531142.0,United States
71,"Arts, entertainment, and recreation",2010339.0,United States
72,Accommodation and food services,11443293.0,United States
81,Other services (except public administration),5264429.0,United States
99,Industries not classified,0.0,United States
--,Total,1612258.0,Alabama
11,"Agriculture, forestry, fishing and hunting",5928.0,Alabama
21,"Mining, quarrying, and oil and gas extraction",7703.0,Alabama
22,Utilities,16511.0,Alabama
23,Construction,95638.0,Alabama
31-33,Manufacturing,246259.0,Alabama
42,Wholesale trade,74638.0,Alabama
44-45,Retail trade,228682.0,Alabama
48-49,Transportation and warehousing,56217.0,Alabama
51,Information,38246.0,Alabama
52,Finance and insurance,71519.0,Alabama
53,Real estate and rental and leasing,25282.0,Alabama
54,"Professional, scientific, and technical services",94230.0,Alabama
55,Management of companies and enterprises,17244.0,Alabama
56,Administrative and support and waste management and remediation services,115827.0,Alabama
61,Educational services,28452.0,Alabama
62,Health care and social assistance,239953.0,Alabama
71,"Arts, entertainment, and recreation",18398.0,Alabama
72,Accommodation and food services,151226.0,Alabama
81,Other services (except public administration),80108.0,Alabama
99,Industries not classified,197.0,Alabama
--,Total,252882.0,Alaska
11,"Agriculture, forestry, fishing and hunting",695.0,Alaska
21,"Mining, quarrying, and oil and gas extraction",10470.0,Alaska
22,Utilities,1781.0,Alaska
23,Construction,17329.0,Alaska
31-33,Manufacturing,11927.0,Alaska
42,Wholesale trade,8923.0,Alaska
44-45,Retail trade,33537.0,Alaska
48-49,Transportation and warehousing,19460.0,Alaska
51,Information,6921.0,Alaska
52,Finance and insurance,7791.0,Alaska
53,Real estate and rental and leasing,5154.0,Alaska
54,"Professional, scientific, and technical services",14628.0,Alaska
55,Management of companies and enterprises,5702.0,Alaska
56,Administrative and support and waste management and remediation services,22978.0,Alaska
61,Educational services,2926.0,Alaska
62,Health care and social assistance,42007.0,Alaska
71,"Arts, entertainment, and recreation",4821.0,Alaska
72,Accommodation and food services,25488.0,Alaska
81,Other services (except public administration),10314.0,Alaska
99,Industries not classified,0.0,Alaska
--,Total,2122265.0,Arizona
11,"Agriculture, forestry, fishing and hunting",1317.0,Arizona
21,"Mining, quarrying, and oil and gas extraction",11957.0,Arizona
22,Utilities,11726.0,Arizona
23,Construction,146787.0,Arizona
31-33,Manufacturing,145520.0,Arizona
42,Wholesale trade,94376.0,Arizona
44-45,Retail trade,316160.0,Arizona
48-49,Transportation and warehousing,78071.0,Arizona
51,Information,52019.0,Arizona
52,Finance and insurance,131858.0,Arizona
53,Real estate and rental and leasing,43230.0,Arizona
54,"Professional, scientific, and technical services",120191.0,Arizona
55,Management of companies and enterprises,41639.0,Arizona
56,Administrative and support and waste management and remediation services,203021.0,Arizona
61,Educational services,49743.0,Arizona
62,Health care and social assistance,302595.0,Arizona
71,"Arts, entertainment, and recreation",45015.0,Arizona
72,Accommodation and food services,242305.0,Arizona
81,Other services (except public administration),84504.0,Arizona
99,Industries not classified,231.0,Arizona
--,Total,970748.0,Arkansas
11,"Agriculture, forestry, fishing and hunting",4388.0,Arkansas
21,"Mining, quarrying, and oil and gas extraction",8212.0,Arkansas
22,Utilities,7541.0,Arkansas
23,Construction,45414.0,Arkansas
31-33,Manufacturing,163825.0,Arkansas
42,Wholesale trade,42930.0,Arkansas
44-45,Retail trade,137421.0,Arkansas
48-49,Transportation and warehousing,48805.0,Arkansas
51,Information,23220.0,Arkansas
52,Finance and insurance,37080.0,Arkansas
53,Real estate and rental and leasing,13349.0,Arkansas
