State,NAICS Code,NAICS Description,Total Employment
United States,--,Total,126752238.0
United States,11,"Agriculture, Forestry, Fishing and Hunting",160411.0
United States,21,"Mining, Quarrying, and Oil and Gas Extraction",587017.0
United States,22,Utilities,638917.0
United States,23,Construction,6311264.0
United States,31-33,Manufacturing,11590420.0
United States,42,Wholesale Trade,6110748.0
United States,44-45,Retail Trade,15967893.0
United States,48-49,Transportation and Warehousing,4729709.0
United States,51,Information,3447950.0
United States,52,Finance and Insurance,6336795.0
United States,53,Real Estate and Rental and Leasing,2111418.0
United States,54,"Professional, Scientific, and Technical Services",8799893.0
United States,55,Management of Companies and Enterprises,3380437.0
United States,56,Administrative and Support and Waste Management and Remediation Services,11628509.0
United States,61,Educational Services,3677275.0
United States,62,Health Care and Social Assistance,19735708.0
United States,71,"Arts, Entertainment, and Recreation",2311437.0
United States,72,Accommodation and Food Services,13704017.0
United States,81,Other Services (except Public Administration),5499244.0
United States,99,Industries not classified,23176.0
Alabama,--,Total,1673249.0
Alabama,11,"Agriculture, Forestry, Fishing and Hunting",6589.0
Alabama,21,"Mining, Quarrying, and Oil and Gas Extraction",5216.0
Alabama,22,Utilities,14447.0
Alabama,23,Construction,82327.0
Alabama,31-33,Manufacturing,250252.0
Alabama,42,Wholesale Trade,72647.0
Alabama,44-45,Retail Trade,237123.0
Alabama,48-49,Transportation and Warehousing,59000.0
Alabama,51,Information,32984.0
Alabama,52,Finance and Insurance,70109.0
Alabama,53,Real Estate and Rental and Leasing,23218.0
Alabama,54,"Professional, Scientific, and Technical Services",100476.0
Alabama,55,Management of Companies and Enterprises,17797.0
Alabama,56,Administrative and Support and Waste Management and Remediation Services,150843.0
Alabama,61,Educational Services,26176.0
Alabama,62,Health Care and Social Assistance,245766.0
Alabama,71,"Arts, Entertainment, and Recreation",17892.0
Alabama,72,Accommodation and Food Services,178552.0
Alabama,81,Other Services (except Public Administration),81529.0
Alabama,99,Industries not classified,306.0
Alaska,--,Total,266072.0
Alaska,11,"Agriculture, Forestry, Fishing and Hunting",641.0
Alaska,21,"Mining, Quarrying, and Oil and Gas Extraction",11838.0
Alaska,22,Utilities,2066.0
Alaska,23,Construction,17022.0
Alaska,31-33,Manufacturing,12701.0
Alaska,42,Wholesale Trade,9306.0
Alaska,44-45,Retail Trade,35101.0
Alaska,48-49,Transportation and Warehousing,18655.0
Alaska,51,Information,6759.0
Alaska,52,Finance and Insurance,7602.0
Alaska,53,Real Estate and Rental and Leasing,4489.0
Alaska,54,"Professional, Scientific, and Technical Services",19498.0
Alaska,55,Management of Companies and Enterprises,7477.0
Alaska,56,Administrative and Support and Waste Management and Remediation Services,17035.0
Alaska,61,Educational Services,3105.0
Alaska,62,Health Care and Social Assistance,49799.0
