State,NAICS Code,Total Employment - 1998
United States,--,108117731.0
United States,11,187149.0
United States,21,497849.0
United States,22,682227.0
United States,23,5798942.0
United States,31-33,16946142.0
United States,42,5885230.0
United States,44-45,14241512.0
United States,48-49,3462624.0
United States,51,3142024.0
United States,52,5770339.0
United States,53,1812728.0
United States,54,6052365.0
United States,55,2703799.0
United States,56,7775033.0
United States,61,2323817.0
United States,62,13758395.0
United States,71,1583836.0
United States,72,9466660.0
United States,81,5038717.0
United States,95,916349.0
United States,99,71994.0
Alabama,--,1604110.0
Alabama,11,9915.0
Alabama,21,8866.0
Alabama,22,15851.0
Alabama,23,101012.0
Alabama,31-33,352428.0
Alabama,42,79149.0
Alabama,44-45,226505.0
Alabama,48-49,46426.0
Alabama,51,36874.0
Alabama,52,67933.0
Alabama,53,21708.0
Alabama,54,65196.0
Alabama,55,21064.0
Alabama,56,100378.0
Alabama,61,18831.0
Alabama,62,201123.0
Alabama,72,127256.0
Alabama,81,80066.0
Alabama,95,9165.0
Alaska,--,196135.0
Alaska,11,1746.0
Alaska,21,8730.0
Alaska,22,1762.0
Alaska,23,12915.0
Alaska,31-33,12117.0
Alaska,42,7040.0
Alaska,44-45,32186.0
Alaska,48-49,17005.0
Alaska,51,5385.0
Alaska,52,6956.0
Alaska,53,3776.0
Alaska,54,9497.0
Alaska,55,1902.0
Alaska,56,9881.0
Alaska,61,2485.0
Alaska,62,28919.0
Alaska,71,2915.0
Alaska,72,20086.0
Alaska,81,9991.0
Arizona,--,1763508.0
Arizona,21,13920.0
Arizona,22,10923.0
Arizona,23,143411.0
Arizona,31-33,199636.0
Arizona,42,84631.0
Arizona,44-45,241097.0
Arizona,48-49,57944.0
Arizona,51,47195.0
Arizona,52,92132.0
Arizona,53,36342.0
Arizona,54,98558.0
Arizona,55,40770.0
Arizona,56,178828.0
Arizona,61,20648.0
Arizona,62,190111.0
Arizona,71,31440.0
Arizona,72,187763.0
Arizona,81,73580.0
Arizona,95,11464.0
Arkansas,--,944935.0
Arkansas,11,6527.0
Arkansas,22,7783.0
Arkansas,23,43486.0
Arkansas,31-33,232671.0
Arkansas,42,42470.0
Arkansas,44-45,134135.0
Arkansas,48-49,39317.0
Arkansas,51,20125.0
Arkansas,52,32335.0
Arkansas,53,9866.0
Arkansas,54,27689.0
Arkansas,55,21784.0
Arkansas,56,51428.0
Arkansas,61,10004.0
Arkansas,62,130131.0
Arkansas,71,7210.0
Arkansas,72,73562.0
Arkansas,81,39817.0
Arkansas,95,11105.0
California,--,12026989.0
California,11,26153.0
California,21,21841.0
California,22,51983.0
California,23,621816.0
California,31-33,1827418.0
California,42,769717.0
California,44-45,1382643.0
California,48-49,386096.0
California,51,474931.0
California,52,599878.0
California,53,257644.0
California,54,923236.0
California,55,277174.0
California,56,992288.0
California,61,239451.0
California,62,1269961.0
California,71,230128.0
California,72,1052168.0
California,81,517498.0
California,95,93019.0
California,99,11946.0
Colorado,--,1757628.0
Colorado,11,1148.0
Colorado,21,11810.0
Colorado,22,9850.0
Colorado,23,132931.0
Colorado,31-33,173403.0
Colorado,42,92992.0
Colorado,44-45,232599.0
Colorado,48-49,51306.0
Colorado,51,80254.0
Colorado,52,97680.0
Colorado,53,38642.0
Colorado,54,117745.0
Colorado,55,37410.0
Colorado,56,150780.0
Colorado,61,23700.0
Colorado,62,180801.0
Colorado,71,35928.0
Colorado,72,192634.0
Colorado,81,83165.0
Colorado,95,11942.0
Colorado,99,908.0
Connecticut,--,1493964.0
Connecticut,11,318.0
Connecticut,22,11353.0
Connecticut,23,60041.0
Connecticut,31-33,246125.0
Connecticut,42,73085.0
Connecticut,44-45,189957.0
Connecticut,48-49,29848.0
Connecticut,51,46666.0
Connecticut,52,122463.0
Connecticut,53,21177.0
Connecticut,54,78066.0
Connecticut,55,46524.0
Connecticut,56,98890.0
Connecticut,61,48791.0
Connecticut,62,211360.0
Connecticut,71,34846.0
Connecticut,72,95867.0
Connecticut,81,61579.0
Connecticut,95,15661.0
Delaware,--,354643.0
Delaware,23,20372.0
Delaware,31-33,43511.0
Delaware,42,14839.0
Delaware,44-45,47633.0
Delaware,48-49,7392.0
Delaware,51,8394.0
Delaware,52,41611.0
Delaware,53,4890.0
Delaware,54,17047.0
Delaware,55,20243.0
Delaware,56,26117.0
Delaware,61,5244.0
Delaware,62,41202.0
Delaware,71,6293.0
Delaware,72,25867.0
Delaware,81,15412.0
Delaware,95,5513.0
District of Columbia,--,402070.0
District of Columbia,22,2880.0
District of Columbia,23,7189.0
District of Columbia,31-33,2996.0
District of Columbia,42,5029.0
District of Columbia,44-45,18727.0
District of Columbia,48-49,3759.0
District of Columbia,51,23766.0
District of Columbia,52,16671.0
District of Columbia,53,9720.0
District of Columbia,54,71142.0
District of Columbia,55,4140.0
District of Columbia,56,30071.0
District of Columbia,61,39732.0
District of Columbia,62,58820.0
District of Columbia,72,40921.0
District of Columbia,81,56798.0
District of Columbia,95,5629.0
Florida,--,5756353.0
Florida,11,13951.0
Florida,21,8223.0
Florida,22,27969.0
Florida,23,341712.0
Florida,31-33,428658.0
Florida,42,298562.0
Florida,44-45,872452.0
Florida,48-49,182835.0
Florida,51,147343.0
Florida,52,302728.0
Florida,53,123890.0
Florida,54,318849.0
Florida,55,106631.0
Florida,56,705904.0
Florida,61,79115.0
Florida,62,740889.0
Florida,71,129315.0
Florida,72,596527.0
Florida,81,288828.0
Florida,95,36187.0
Florida,99,5785.0
Georgia,--,3198950.0
Georgia,22,22402.0
Georgia,23,174785.0
Georgia,31-33,535051.0
Georgia,42,193117.0
Georgia,44-45,431835.0
Georgia,48-49,117456.0
Georgia,51,106316.0
Georgia,52,154804.0
Georgia,53,51223.0
Georgia,54,166546.0
Georgia,55,90936.0
Georgia,56,261555.0
Georgia,61,55860.0
Georgia,62,331913.0
Georgia,71,33402.0
Georgia,72,273418.0
Georgia,81,135548.0
Georgia,95,45260.0
Hawaii,--,416571.0
Hawaii,22,2601.0
Hawaii,23,21265.0
Hawaii,31-33,14535.0
Hawaii,42,18442.0
Hawaii,44-45,60620.0
Hawaii,48-49,23635.0
Hawaii,51,8241.0
Hawaii,52,20054.0
Hawaii,53,13011.0
Hawaii,54,17143.0
Hawaii,55,5320.0
Hawaii,56,31342.0
Hawaii,61,11909.0
Hawaii,62,47389.0
Hawaii,71,10495.0
Hawaii,72,83265.0
Hawaii,81,22802.0
Hawaii,95,3721.0
Idaho,--,423615.0
Idaho,11,4415.0
Idaho,21,2621.0
Idaho,22,3283.0
Idaho,23,35453.0
Idaho,31-33,66719.0
Idaho,42,23488.0
Idaho,44-45,65665.0
Idaho,48-49,11704.0
Idaho,51,9299.0
Idaho,52,16285.0
Idaho,53,4848.0
Idaho,54,22341.0
Idaho,55,6893.0
Idaho,56,25398.0
Idaho,61,5642.0
Idaho,62,50675.0
Idaho,72,44106.0
Idaho,81,16899.0
Idaho,95,2260.0
Illinois,--,5221782.0
