NAICS Code,Total Employment - 2007,State
--,120604265,United States
11,172105,United States
21,700887,United States
22,622757,United States
23,7267883,United States
31-33,13320172,United States
42,5964850,United States
44-45,15759928,United States
48-49,4395432,United States
51,3399313,United States
52,6548868,United States
53,2224175,United States
54,8179941,United States
55,3121402,United States
56,9983661,United States
61,3039385,United States
62,16797647,United States
71,2008567,United States
72,11564864,United States
81,5519773,United States
99,12655,United States
--,1722834,Alabama
11,7110,Alabama
21,8033,Alabama
22,15439,Alabama
23,114256,Alabama
31-33,281601,Alabama
42,79983,Alabama
44-45,244606,Alabama
48-49,58487,Alabama
51,38378,Alabama
52,71344,Alabama
53,26822,Alabama
54,99396,Alabama
55,18756,Alabama
56,138276,Alabama
61,27131,Alabama
62,236698,Alabama
71,17357,Alabama
72,152545,Alabama
81,86402,Alabama
99,214,Alabama
--,244621,Alaska
11,667,Alaska
21,10593,Alaska
22,1725,Alaska
23,17100,Alaska
31-33,10084,Alaska
42,8924,Alaska
44-45,34894,Alaska
48-49,19451,Alaska
51,6735,Alaska
52,7809,Alaska
53,4730,Alaska
54,13708,Alaska
55,3251,Alaska
56,22739,Alaska
61,2764,Alaska
62,38791,Alaska
71,4605,Alaska
72,25466,Alaska
81,10565,Alaska
99,0,Alaska
--,2404089,Arizona
11,1429,Arizona
21,11112,Arizona
22,0,Arizona
23,237252,Arizona
31-33,172492,Arizona
42,99104,Arizona
44-45,342349,Arizona
48-49,84580,Arizona
51,52693,Arizona
52,145473,Arizona
53,55799,Arizona
54,137920,Arizona
55,64371,Arizona
56,268593,Arizona
61,44661,Arizona
62,275846,Arizona
71,47639,Arizona
72,255049,Arizona
81,91855,Arizona
99,202,Arizona
--,1031307,Arkansas
11,5368,Arkansas
21,6364,Arkansas
22,6844,Arkansas
23,53706,Arkansas
31-33,191518,Arkansas
42,47102,Arkansas
44-45,142557,Arkansas
48-49,59972,Arkansas
51,22379,Arkansas
52,38389,Arkansas
53,13889,Arkansas
54,34672,Arkansas
55,30333,Arkansas
56,59456,Arkansas
61,13146,Arkansas
62,160244,Arkansas
71,8987,Arkansas
72,90362,Arkansas
81,45973,Arkansas
99,46,Arkansas
